Page,URL,Schema File,Prepared @types,Live Status,Priority,Additional Recommended
home,https://improveitmd.com/,home.json,HomeAndConstructionBusiness,Not deployed,High,
about,https://improveitmd.com/about,about.json,AboutPage,Not deployed,Medium,
team,https://improveitmd.com/team,team.json,AboutPage,Not deployed,Medium,
testimonials,https://improveitmd.com/testimonials,testimonials.json,WebPage,Not deployed,High,
gallery,https://improveitmd.com/gallery,gallery.json,ImageGallery,Not deployed,Medium,
contact,https://improveitmd.com/contact,contact.json,ContactPage,Not deployed,High,
quote,https://improveitmd.com/quote,quote.json,WebPage,Not deployed,Medium,
financing,https://improveitmd.com/financing,financing.json,WebPage,Not deployed,Medium,
warranty,https://improveitmd.com/warranty,warranty.json,WebPage,Not deployed,Medium,
blog,https://improveitmd.com/blog,blog.json,Blog,Not deployed,Medium,
video_gallery,https://improveitmd.com/video-gallery,video_gallery.json,CollectionPage,Not deployed,Medium,
roofing,https://improveitmd.com/roofing,roofing.json,Service,Not deployed,High,
roofing_asphalt,https://improveitmd.com/roofing/asphalt-roofing,roofing_asphalt.json,Service,Not deployed,Medium,BreadcrumbList
roofing_metal,https://improveitmd.com/roofing/metal-roofing,roofing_metal.json,Service,Not deployed,Medium,BreadcrumbList
roofing_flat,https://improveitmd.com/roofing/flat-roofing,roofing_flat.json,Service,Not deployed,Medium,BreadcrumbList
roofing_commercial,https://improveitmd.com/roofing/commercial-roofing,roofing_commercial.json,Service,Not deployed,Medium,BreadcrumbList
siding,https://improveitmd.com/siding,siding.json,Service,Not deployed,High,
siding_james_hardie,https://improveitmd.com/siding/james-hardie,siding_james_hardie.json,Service,Not deployed,Medium,BreadcrumbList
siding_vinyl,https://improveitmd.com/siding/vinyl,siding_vinyl.json,Service,Not deployed,Medium,BreadcrumbList
windows,https://improveitmd.com/windows,windows.json,Service,Not deployed,High,
doors,https://improveitmd.com/doors,doors.json,Service,Not deployed,High,
gutters,https://improveitmd.com/gutters,gutters.json,Service,Not deployed,High,
exterior_trim,https://improveitmd.com/exterior-trim,exterior_trim.json,Service,Not deployed,Medium,
decks,https://improveitmd.com/decks-and-patios,decks.json,Service,Not deployed,Medium,
decks_rooftop,https://improveitmd.com/deck-and-patios/rooftop-deck,decks_rooftop.json,Service,Not deployed,Medium,BreadcrumbList
decks_ipe,https://improveitmd.com/deck-and-patios/ipe-deck-builder,decks_ipe.json,Service,Not deployed,Medium,BreadcrumbList
decks_flagstone,https://improveitmd.com/deck-and-patios/flagstone-patios,decks_flagstone.json,Service,Not deployed,Medium,BreadcrumbList
roofing_calculator,https://improveitmd.com/roofing-cost-calculator,MISSING,,Not deployed,Medium,
commercial_calculator,https://improveitmd.com/commercial-roof-cost-calculator,MISSING,,Not deployed,Medium,
service_areas,https://improveitmd.com/service-areas,service_areas.json,WebPage,Not deployed,Medium,
location_bowie,https://improveitmd.com/locations/bowie,location_bowie.json,RoofingContractor,Not deployed,High,BreadcrumbList
location_gaithersburg,https://improveitmd.com/locations/gaithersburg,location_gaithersburg.json,SidingContractor,Not deployed,High,BreadcrumbList
location_dc,https://improveitmd.com/locations/washington-dc,location_dc.json,RoofingContractor,Not deployed,High,BreadcrumbList
